id,title,vote_average,vote_count,release_date,runtime,overview,poster_path,genres,production_companies,production_countries
11025,New York Minute,6.205,832,2004-05-07,91,"Top student Jane Ryan heads to Manhattan for a college-scholarship competition. Her rebellious twin Roxy Ryan goes along to crash a video shoot. But anything can happen - and does - in a romp involving a pursuing truant officer, a smuggler, hunkalicious guys and the girls' realization that when the chips are down, a sister can be the best friend of all.",/ikvhT12oArMyJO3dpNwX2n3rFPR.jpg,Comedy,"Di Novi Pictures, Dualstar Productions, Warner Bros. Pictures",United States of America
245775,Yves Saint Laurent,6.638,832,2014-01-08,106,"A look at the life of French designer Yves Saint Laurent from the beginning of his career in 1958 when he met his lover and business partner, Pierre Berge.",/c3OQ4DtCzm4JfBxviXk5g7grsxM.jpg,Drama,"SND, WY Productions, Hérodiade, uMedia","Belgium, France"
586,Wag the Dog,6.953,832,1997-12-25,97,"During the final weeks of a presidential race, the President is accused of sexual misconduct. To distract the public until the election, the President's adviser hires a Hollywood producer to help him stage a fake war.",/kAwOj7t8ZeaniTFtLWVSKO79JxX.jpg,"Comedy, Drama","New Line Cinema, Tribeca Productions, Baltimore Pictures, Punch Productions",United States of America
24122,The Rebound,6.522,831,2009-09-16,95,"Upon discovering her husband's infidelity, Sandy leaves the suburbs and moves into the city. There, she befriends Aram, a guy whose wife only married him so she could get a green card. Sandy hires Aram to be her nanny, and  it isn't long until Aram and Sandy find out they get along wonderfully and start to date. But is their relationship real or is it, in fact, just a rebound for both of them?",/pnr4sA9tn3E5Sc2qHbG3yT4m8Fv.jpg,"Romance, Comedy","Process Media, The Film Department, Dillywood, A&F Productions, Neon Productions, Mandate International","France, United States of America"
11817,Bulletproof Monk,5.5,831,2003-03-28,104,"A mysterious and immortal Tibetan kung fu master, who has spent the last 60 years traveling around the world protecting the ancient Scroll of the Ultimate, mentors a selfish street kid in the ancient intricacies of kung fu.",/kHWv16c4uDmiEujICSBdQ52TH55.jpg,"Action, Comedy, Fantasy","Lakeshore Entertainment, Lion Rock Productions, Image Comics, Metro-Goldwyn-Mayer, Mosaic, Flypaper Press, Cub Five Productions",United States of America
4437,2010,6.6,831,1984-12-06,116,"While planet Earth poises on the brink of nuclear self-destruction, a team of Russian and American scientists aboard the Leonov hurtles to a rendezvous with the still-orbiting Discovery spacecraft and its sole known survivor, the homicidal computer HAL.",/mEWKXuCMv7mFMxXVSTI3v8UOQuq.jpg,"Thriller, Science Fiction",Metro-Goldwyn-Mayer,United States of America
288036,Sleeping with Other People,6.3,831,2015-06-26,100,"Can two serial cheaters get a second chance at love? After a one-night stand in college, New Yorkers Lainey and Jake meet by chance twelve years later and discover they each have the same problem: because of their monogamy-challenged ways, neither can maintain a relationship. Determined to stay friends despite their mutual attraction, they make a pact to keep it platonic, a deal that proves easier said than done.",/thYomS3wTYDTRZaM98ADMfBiDxm.jpg,Comedy,"Sidney Kimmel Entertainment, IM Global, Gloria Sanchez Productions",United States of America
10623,Cradle 2 the Grave,6.067,831,2003-02-28,101,"Gang leader Tony pulls off a major diamond heist with his crew, but cop-turned-criminal Ling knows who has the loot and responds by kidnapping Tony's daughter and holding her for ransom. Unfortunately, Tony's lost the diamonds as well. As he frantically searches for his daughter and the jewels, Tony pairs with a high-kicking government agent who once worked with Ling and seeks revenge on him.",/8iXpVITXenqPG8gQ0lCFpUMtZIx.jpg,"Action, Crime, Drama","Silver Pictures, Warner Bros. Pictures",United States of America
10803,Logan's Run,6.596,830,1976-06-23,119,"In the 23rd century, inhabitants of a domed city freely experience all of life's pleasures — but no one is allowed to live past 30. Citizens can try for a chance at being ""renewed"" in a civic ceremony on their 30th birthday. Escape is the only other option.",/v3ILN8ROPcrNRJ8S7GH24JyihH8.jpg,"Action, Science Fiction",Metro-Goldwyn-Mayer,United States of America
243684,"Men, Women & Children",6.476,830,2014-10-17,116,"Follows the story of a group of high school teenagers and their parents as they attempt to navigate the many ways the internet has changed their relationships, their communication, their self-image, and their love lives.",/dzFHIxCcvq2CZVFCsgz7n1z5oIM.jpg,"Drama, Comedy","Right of Way Films, Paramount",United States of America
